"Assignment:
Prepare a list of AI tools or platforms that can perform AI actions across different input types — text, images, and audio.For each input type, include a minimum of 10 recommended tools. 
Example: For text - ChatGPT",,,,,,,,,,,,,,,,,,,,,,,,,
Input Type,Tool / Platform,Website,Short Description,,,,,,,,,,,,,,,,,,,,,,
Text,ChatGPT (OpenAI),https://openai.com/chatgpt,"Conversational LLM for writing, research, code, summarization, and multimodal inputs (text & image).",,,,,,,,,,,,,,,,,,,,,,
Text,Claude (Anthropic),https://www.anthropic.com/claude,Conversational LLM focused on safety and long-form reasoning; enterprise options.,,,,,,,,,,,,,,,,,,,,,,
Text,Google Gemini / Bard,https://ai.google,"Google's family of LLMs for chat, search, and multimodal tasks.",,,,,,,,,,,,,,,,,,,,,,
Text,Microsoft 365 Copilot,https://www.microsoft.com/en-us/microsoft-365/copilot,"Copilot integrated across Microsoft 365 apps for writing, analysis and automation.",,,,,,,,,,,,,,,,,,,,,,
Text,Cohere,https://cohere.ai,"APIs for large language models, embeddings, and custom models for enterprises.",,,,,,,,,,,,,,,,,,,,,,
Text,AI21 Studio,https://www.ai21.com/studio,Large language models and writing tools focused on control and creative writing.,,,,,,,,,,,,,,,,,,,,,,
Text,Jasper AI,https://www.jasper.ai,"AI writing assistant tuned for marketing, blogs, and social copy.",,,,,,,,,,,,,,,,,,,,,,
Text,Copy.ai,https://www.copy.ai,"Quick content generation for marketing, emails, and short-form copy.",,,,,,,,,,,,,,,,,,,,,,
Text,Writesonic,https://writesonic.com,"AI writer and content platform for blogs, ads, and landing pages.",,,,,,,,,,,,,,,,,,,,,,
Text,Hugging Face Inference,https://huggingface.co/inference-api,"Model hosting & inference for many open models (text, code, embeddings).",,,,,,,,,,,,,,,,,,,,,,
Image,DALL·E (OpenAI),https://openai.com/dall-e,Text-to-image generation with high-quality photorealistic and stylized outputs.,,,,,,,,,,,,,,,,,,,,,,
Image,Midjourney,https://www.midjourney.com,"Community-driven image generation known for artistic, stylized imagery.",,,,,,,,,,,,,,,,,,,,,,
Image,Stable Diffusion / DreamStudio (Stability AI),https://stability.ai / https://dreamstudio.ai,Open-source diffusion model family with many UI front-ends for image generation and editing.,,,,,,,,,,,,,,,,,,,,,,
Image,Adobe Firefly,https://www.adobe.com/firefly,Generative image tools integrated into Adobe Creative Cloud with commercial-use licenses.,,,,,,,,,,,,,,,,,,,,,,
Image,Leonardo.ai,https://leonardo.ai,Creative-focused image generation platform with model tuning and community assets.,,,,,,,,,,,,,,,,,,,,,,
Image,Runway (Frames),https://runwayml.com,"Image & video tools including image-to-image, inpainting, and model-based editing.",,,,,,,,,,,,,,,,,,,,,,
Image,Canva (Text-to-Image),https://www.canva.com,Design platform with built-in AI image and layout generation for creators and marketers.,,,,,,,,,,,,,,,,,,,,,,
Image,DreamStudio (Stability),https://dreamstudio.ai,Official interface for Stable Diffusion models; supports image-to-image and prompt-based generation.,,,,,,,,,,,,,,,,,,,,,,
Image,Flux (or Flux.ai),https://www.flux.ai,Generative image tools and creative workflows (varies by offering).,,,,,,,,,,,,,,,,,,,,,,
Image,Pixlr / DeepArt,https://pixlr.com,Fast web-based image editing and style-transfer tools powered by AI.,,,,,,,,,,,,,,,,,,,,,,
Audio,ElevenLabs,https://elevenlabs.io,High-quality text-to-speech and voice cloning with expressive control.,,,,,,,,,,,,,,,,,,,,,,
Audio,Descript (Overdub),https://www.descript.com,Audio and video editor with Overdub voice cloning and text-based editing.,,,,,,,,,,,,,,,,,,,,,,
Audio,Murf.ai,https://murf.ai,"Text-to-speech studio for narration, presentations, and e-learning voices.",,,,,,,,,,,,,,,,,,,,,,
Audio,Resemble.ai,https://www.resemble.ai,"Custom voice creation, speech-to-speech, and expressive TTS for products.",,,,,,,,,,,,,,,,,,,,,,
Audio,Podcastle,https://podcastle.ai,"Podcast-focused recording, editing, and AI-cleanup tools including text-to-speech.",,,,,,,,,,,,,,,,,,,,,,
Audio,AIVA / AmperMusic / Soundraw (music),https://www.aiva.ai,AI music composition and soundtrack generation tools for creators.,,,,,,,,,,,,,,,,,,,,,,
Audio,Adobe Podcast / Project Shasta,https://podcast.adobe.com,"Audio cleanup, TTS experiments, and speech enhancement from Adobe.",,,,,,,,,,,,,,,,,,,,,,
Audio,Voicemod,https://www.voicemod.net,Real-time voice transformation and style-based voice effects for streaming and apps.,,,,,,,,,,,,,,,,,,,,,,
Audio,Altered Studio,https://www.altered.ai,Voice transformation and professional voice design for media and games.,,,,,,,,,,,,,,,,,,,,,,
Audio,iZotope RX (AI features),https://www.izotope.com/en/products/rx.html,Industry-standard audio repair with machine learning-powered noise reduction.,,,,,,,,,,,,,,,,,,,,,,
Video,Synthesia,https://www.synthesia.io,Text-to-video platform using realistic AI avatars for corporate training and explainers.,,,,,,,,,,,,,,,,,,,,,,
Video,Runway (Gen-2 / Video Tools),https://runwayml.com,"Generative video models, inpainting, motion editing and video upscaling.",,,,,,,,,,,,,,,,,,,,,,
Video,Adobe Firefly Generate Video,https://www.adobe.com/firefly/video.html,Text-to-video and image-to-video capabilities integrated with Creative Cloud.,,,,,,,,,,,,,,,,,,,,,,
Video,Pictory,https://pictory.ai,Script-to-video and long-form video summarization with stock footage and captions.,,,,,,,,,,,,,,,,,,,,,,
Video,Lumen5,https://lumen5.com,Text-to-video for social and marketing videos with templates and automation.,,,,,,,,,,,,,,,,,,,,,,
Video,HeyGen (Movio / HeyGen),https://www.heygen.com,AI presenters and text-to-video tools for quick corporate & marketing clips.,,,,,,,,,,,,,,,,,,,,,,
Video,Descript (Video),https://www.descript.com,"Text-based video editing, overdubbed voice, and screen recording workflows.",,,,,,,,,,,,,,,,,,,,,,
Video,Kaiber,https://www.kaiber.ai,AI-driven image-to-video and generative video tools for music videos and short films.,,,,,,,,,,,,,,,,,,,,,,
Video,Rephrase.ai / DeepBrain,https://www.rephrase.ai / https://www.deepbrain.io,Personalized video generation and AI avatars for messaging and marketing.,,,,,,,,,,,,,,,,,,,,,,
Video,Synthesys / Opus Pro (video),https://www.synthesys.io,AI voice + avatar video generation platforms aimed at marketing creators.,,,,,,,,,,,,,,,,,,,,,,
Coding,ChatGPT (OpenAI),https://openai.com/chatgpt,"Code generation, debugging, refactoring, explanations, and multi-language support.",,,,,,,,,,,,,,,,,,,,,,
Coding,GitHub Copilot,https://github.com/features/copilot,AI pair programmer that autocompletes code inside IDEs using context awareness.,,,,,,,,,,,,,,,,,,,,,,
Coding,Claude (Anthropic),https://www.anthropic.com/claude,"Strong at long code reasoning, architecture discussions, and large-file analysis.",,,,,,,,,,,,,,,,,,,,,,
Coding,Amazon CodeWhisperer,https://aws.amazon.com/codewhisperer/,AI coding assistant optimized for AWS services and secure coding practices.,,,,,,,,,,,,,,,,,,,,,,
Coding,Tabnine,https://www.tabnine.com,AI-powered code completion supporting multiple languages and private models.,,,,,,,,,,,,,,,,,,,,,,
Coding,Cursor AI,https://www.cursor.sh,"AI-first code editor for writing, refactoring, and understanding codebases.",,,,,,,,,,,,,,,,,,,,,,
Coding,Replit Ghostwriter,https://replit.com/site/ghostwriter,"In-editor AI for code completion, debugging, and explanations in Replit.",,,,,,,,,,,,,,,,,,,,,,
Coding,Codeium,https://www.codeium.com,Free AI code completion and chat assistant for developers and teams.,,,,,,,,,,,,,,,,,,,,,,
Coding,Phind,https://www.phind.com,Developer-focused AI search and coding assistant with citations.,,,,,,,,,,,,,,,,,,,,,,
Coding,Sourcegraph Cody,https://sourcegraph.com/cody,AI assistant for understanding and navigating large-scale codebases.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
